Author,Title,Year,Source title,Abstract,Author keywords,Correspondence address,Country,Publisher,Document type,Source,AI technologies,Key technology clusters,AI capabilities,MBSE phases,MBSE activities,MBSE tasks,Application area
"Luo, Y.; Wang, Y.; Li, X.; Gu, B.; Jin, Z.",Leveraging Large Language Models for Reusable Requirements Management in Aerospace Software,2025,IEEE International Conference on Requirements Engineering,"The reuse of requirements artifacts is essential for software development, particularly in aerospace systems where high reliability and efficiency are paramount. However, current methods for managing these artifacts are predominantly manual and costly, as the artifacts are dispersed across multiple documents and exist in heterogeneous formats. Leveraging recent advances in large language models (LLMs) offers a promising opportunity for automating and scaling requirements reuse. Nonetheless, this approach faces two critical challenges: (1) encapsulating scattered, diverse requirement artifacts into coherent and reusable components, and (2) organizing these components into a structured, easily retrievable library. To address these challenges, we introduce AeroR, a novel format for encapsulating aerospace requirements artifacts, and propose AERORM, an LLM-based method for automated requirements artifact management. AERORM operates in two phases: first, it consolidates requirements from disparate sources into reusable components (i.e., AeroRs); then, it organizes these AeroRs into a hierarchical library to enable efficient retrieval. We validate AERORM on artifacts from six aerospace projects, successfully encapsulating 1,624 AeroRs. A user study with senior engineers shows that 67% of sampled AeroRs are high-quality, and a comparative retrieval study across 12 configurations achieves a best-case Recall@10 exceeding 80%. These results demonstrate the potential of AERORM to automate requirements reuse at scale, offering a practical solution for safety-critical domains. ? 2025 IEEE.",Aerospace Software; LLM; Reusable Requirements Management,"Y. Luo; Beijing Institute of Control Engineering, Software Department, Beijing, China; email: luoyi_xing@126.com; B. Gu; Beijing Institute of Control Engineering, Software Department, Beijing, China; email: gubin@ios.ac.cn",China,IEEE,Conference paper,Scopus,LLM+ML+NLP,Generative AI,Content generation,Requirement analysis and management,Requirements Organization,Requirements reuse management,Aerospace£¨Spacecraft£©
"Kruk, R.; Zhukovska, N.",Toward AI-assisted Framework for Agile Requirement Knowledge Management: Five-Stage Generative LLM Approach,2025,International Conference on Advanced Computer Information Technologies,"This paper proposes a five-stage framework for managing Agile software requirements using generative large language models (LLMs) and graph-based knowledge representation. A middleware system extracts Jira data, processes it via LLMs, and stores structured insights in a Neo4j graph. Evaluated on 18,199 real project tickets, the system achieved over 90% accuracy in user queries and demonstrated notable time savings. While initial LLM processing incurs higher costs, long-term use becomes more efficient especially with models like Gemini 1.5 Pro or other cost-redusing LLM solutions. The approach shows promise for scalable, intelligent requirements management and sets the stage for further validation and usability studies. ? 2025 IEEE.",Agile; ChatGPT; generative AI; Jira; knowledge-based system; LLM; requirements engineering; software requirements,"R. Kruk; National University of Water and Environmental Engineering, Department of Computer Sciences and Applied Mathematics, Rivne, Ukraine; email: r.a.kruk@nuwm.edu.ua",United Kingdom,IEEE,Conference paper,Scopus,KG+LLM+NLP,Knowledge-driven,Knowledge formalization,Requirement analysis and management,Requirements Organization,Automated requirements management,Industry
"Huang, Y.; Fung, T.-Y.; DeLaurentis, D.A.",Addressing Complexity in System of Systems With GraphRAG: An AI-Driven Framework for Dynamic Data Integration,2025,Systems Engineering,"System of Systems (SoS) environments are inherently complex, involving numerous operationally and managerially independent component systems with hidden interdependencies and frequent interactions based on unstructured data. In this paper, we propose using graphical Retrieval-Augmented Generation (GraphRAG), a tool that combines large language models with knowledge graph (KG) techniques to address these challenges. Using metrics from information entropy and graph theory, we demonstrate how KG construction and clustering nodes can reduce complexity in SoS. An example application in the Urban Air Mobility setting illustrates that GraphRAG can solve concrete data integration challenges while outperforming traditional Retrieval-Augmented Generation (RAG) methods. The upshot is improved execution of model-based systems engineering in an SoS context: mitigating risks from incomplete information, enhancing system integration, and improving?decision-making. ? 2025 The Author(s). Systems Engineering published by Wiley Periodicals LLC.",data integration; graphRAG; knowledge graph; system of systems; UAM,"Y. Huang; Graduate Student, School of Aeronautics and Astronautics, Purdue University, West Lafayette, United States; email: huan1903@purdue.edu",United States,John Wiley and Sons Inc,Article,Scopus,KG+LLM,Knowledge-driven,Semantic integration and interoperability,Requirement analysis and management,Requirements Analysis,Requirements change analysis,Aerospace£¨Aircraft£©
"Lingg, M.; Paul, H.; Kushwaha, S.; Hakim, S.M.A.",Legacy Textual Requirement Software System Modeling and Test Generation,2025,AIAA AVIATION FORUM AND ASCEND,"The cost of poor quality software to the US economy is estimated to be in the trillions. In safety-critical software, like that used in commercial airliners, the cost of software verification can exceed 75% of the total software development cost. Automated test tools can help to accelerate test development to ""shift-left"" testing to be run earlier in the software life cycle. While the cost of qualifying such automated tools is very high, independent human oversight can replace the need for qualification. Many of these safety-critical systems still rely on difficult to parse text-based requirements. To address these challenges, this paper presents research into parsing textual requirements to enable automated analysis of the quality of the requirements and generate tests. The research begins with parsing of structured requirements into logical models, enabling an investigation of the benefits of system analysis and test generation. The requirement analysis ranges from analysis of signal propagation and requirement conflicts preventing output values from being set or inputs being masked, to full systems containing thousands of requirements. Test generation includes methods for creating full Multiple Condition/Decision Coverage tests. Next, Machine Learning approaches are investigated to broaden the requirement parsing for better handling of natural language requirements. Comparisons of the automated requirement analysis and test generation with manual approaches demonstrate a 45x speedup of system analysis time and suggest potential savings that could exceed tens of thousands of hours in Verification and Validation time. ? 2025, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.",Airliner; Commercial Aircraft; Human In The Loop; Integration Testing; Machine Learning; MBSE; NLP; Safety Critical Software; Software Development; Software Development Costs,"Array of Engineers, 2350 Oak Industrial Dr NE #1, Grand Rapids, 49505, MI, United States",United States,American Institute of Aeronautics and Astronautics (AIAA),Conference paper,Scopus,LLM+ML+NLP,Generative AI,Semantic reasoning and consistency analysis,Requirement analysis and management,Requirements Analysis,Requirements consistency verification,Software
"Cho, K.; Fischer, O.J.P.; Mavris, D.N.",Improving LLM performance in Aerospace NER task: Entity-adaptive data augmentation and fine-tuning strategies,2025,AIAA AVIATION FORUM AND ASCEND,"The shift from traditional document-based practices to Model-Based Systems Engineering (MBSE) is anticipated to enhance systems engineering by introducing benefits including better integration and collaboration across system components, essential for complex system development. As MBSE adoption grows, so does the need for effective Named Entity Recognition (NER) methods capable of extracting machine-readable entities from natural language resources. NER plays an important role in transforming unstructured data into structured formats by identifying and classifying entities. Large Language Model (LLM)-based NER in particular has shown strong potential due to its advanced contextual understanding capabilities. However, fine-tuning LLMs requires large volumes of annotated data, and manual labeling process is both time-consuming and error-prone. These challenges are further exacerbated in specialized domains such as aerospace and medicine, where data is often confidential, sensitive and difficult to access. To address these challenges, this study proposes an entity-adaptive data augmentation strategy designed to generate synthetic training data tailored to the characteristics of specific entity types. By systematically varying synonym replacement rates and optimizing them per entity type, the proposed method effectively improved the performance of fine-tuned LLMs in an aerospace domain-specific NER task, using a limited dataset of only 300 aerospace requirement sentences. Notably, it improves NER performance without requiring additional manual annotation. Overall, the results demonstrate that entity-adaptive augmentation is a scalable and effective solution for enhancing domain-specific NER in data-scarce settings. ? 2025, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.",Aerospace; Aerospace Medicine; Diminishing Returns; Machine Learning; MBSE; NLP; Optimization Algorithm; Satellites; Title 14 of The Code of Federal Regulations; Transformer,"Aerospace Systems Design Laboratory, School of Aerospace Engineering, Georgia Institute of Technology, Atlanta, 30332, GA, United States",United States,American Institute of Aeronautics and Astronautics (AIAA),Conference paper,Scopus,LLM+NLP,Generative AI,Information extraction,Requirement analysis and management,Requirements Creation,Requirements extraction,Aerospace£¨Spacecraft£©
"Weesommai, P.; Nuannimnoi, S.; Huang, C.-Y.",Virtual Software Engineer Agent for Product Requirement Engineering and Management Using GPT-4.1 and CoT,2025,IEEE International Conference on Computer Communication and the Internet,"Capturing accurate and complete user requirements remains a persistent challenge in software engineering, often hampered by ambiguous communication and labor-intensive processes. This paper introduces a Virtual Software Engineer Agent designed to support product requirement engineering and management through conversational interaction. Leveraging the capabilities of a Large Language Model (LLM) like GPT-4.1 enhanced by Chain-of-Thought (CoT) reasoning, the agent engages users in natural dialogue, incrementally deriving structured software requirements from unstructured input. Our system aims to address key limitations of traditional methods, including inefficiency, high cost, and misalignment between user intent and technical output. To evaluate its effectiveness, we compare the agent's generated outputs with expert-written requirement documents from a Bangkok-based software firm, using BLEU, METEOR, and ROUGE-L to measure linguistic and semantic similarity. Results indicate that the proposed solution holds strong potential for automating requirement elicitation while maintaining fidelity to user intent and improving overall scalability in requirement engineering workflows. ? 2025 IEEE.",Chatbot; LLM; Software Engineering; User Requirement gathering,"National Yang Ming Chiao Tung University, EECS International Graduate Program, Hsinchu, Taiwan",China,IEEE,Conference paper,Scopus,LLM,Generative AI,Interactive assistance,Requirement analysis and management,Requirements Creation,Requirements extraction,Software
"Zhang, X.; Chen, M.; Wu, R.; Luo, W.; Liang, X.",Closed-Loop Multi-Agent Framework for Airborne Systems MBSE Requirements Standardization,2025,China Conference on System Simulation Technology and its Applications,"Requirements engineering for aerospace systems needs rigorous standards compliance, clarity, and traceability due to stringent safety and reliability criteria. However, existing methods leveraging Large Language Models (LLMs) typically address isolated stages of the requirement engineering process without adequate consideration for compliance standards, closed-loop integration, and iterative optimization. This paper presents an innovative closed-loop multi-agent framework integrating LLMs within the multi-agent platform, specifically designed for aerospace Model-Based Systems Engineering (MBSE). The proposed architecture supports a closed-loop requirement engineering process encompassing requirement extraction, normalization, verification, and optimization. The resulting structured requirements are seamlessly exported to Capella, a leading MBSE modeling tool, ensuring compliance with DO-178C standards. ? 2025 IEEE.",Airborne System; LLM; MBSE; Multi-Agent Systems; Requirements Engineering,"W. Luo; Peng Cheng Laboratory, Shenzhen, China; email: luowch@pcl.ac.cn",China,IEEE,Conference paper,Scopus,LLM,Generative AI,Semantic reasoning and consistency analysis,Requirement analysis and management,Requirements Representation,Requirements specification,Aerospace£¨Spacecraft£©
"Ong, M.; Godshall, N.; Crane, J.",An Application for Model-Based Guided Engineering,2025,IEEE Aerospace Conference Proceedings,"Model-based systems engineering (MBSE) deliverables are encumbered by time-intensive tasks such as manual model creation, documentation, and traceability analysis to ensure elements of the system model support tracking of requirements, design decisions, and system behaviors. To reach digital transformation milestones in condensed schedules, model-based guided engineering (MBGE) leverages generative artificial intelligence (AI) to accelerate MBSE development of complex systems using generative systems engineering (GSE) data. Booz Allen developed an AI software tool, the MBSE AI Platform for Productivity (MAPPy) which interfaces with Cameo MagicDraw, to harness MBGE and address existing bottlenecks in MBSE practices. The tool provides an interface for systems engineers to optimize workloads with advanced capabilities to support data literacy, MBSE frameworks, and vast program knowledge bases. This paper describes how MAPPy streamlines MBGE to develop GSE data for comprehensive MBSE technical baselines by integrating generative AI, retrieval-augmented generation (RAG), and agential workflows to remove redundant, time-consuming tasks and accelerate overall model development. ? 2025 IEEE.",\,"Booz Allen Hamilton, 2250 E Imperial Hwy., El Segundo, 90245, CA, United States",United States,IEEE,Conference paper,Scopus,LLM,Generative AI,Interactive assistance,Requirement analysis and management,Requirements Organization,Requirements traceability analysis,Aerospace£¨Spacecraft£©
"Lameh, J.; Dubray, A.; Jankovic, M.",Automating Feature Modeling in Product Line Engineering for Systems Engineering: The Application of Natural Language Processing,2025,International Conference on Model-Driven Engineering and Software Development,"This paper explores the integration of Artificial Intelligence (AI), particularly Natural Language Processing (NLP), with feature modeling (FM) in Product Line Engineering (PLE) for Systems Engineering. By leveraging AI to formalize and model variability, the study proposes an algorithm to assist subsystem owners in describing variability, generating prompts, and producing feature models. The results demonstrate AI¡¯s ability to detect and resolve common modeling issues, such as dead features, false optional features, and constraint inconsistencies, while enhancing model validation and anomaly detection. Although the approach is promising, limitations in scalability, conflict resolution, and integration across subsystems highlight the need for future research to establish a comprehensive and scalable methodology. This work underscores AI's potential to streamline feature modeling and improve the consistency and efficiency of variability management in complex systems. ? 2025 by SCITEPRESS - Science and Technology Publications, Lda.",Artificial Intelligence; Feature Models; MBSE; Modeling; NLP; Product Line Engineering,"Universit¨¦ Paris Saclay-CentraleSup¨¦lec, Laboratoire Genie Industriel, Gif-sur-Yvette, France",France,SciTePress,Conference paper,Scopus,LLM+NLP,Generative AI,Model synthesis and refinement,Requirement analysis and management,Requirements Representation,Requirements modeling,Vehicle
"Bourdon, J.; Rodriguez, J.; Lesigne, Q.; Suchet, P.; Fister, B.; Montagne, L.; Malhomme, O.; Benmiloud-Bechet, L.; Plana, R.",Transforming Systems Engineering in Nuclear Projects with Generative AI: A Path to Efficiency and Compliance,2025,International Conference on Model-Driven Engineering and Software Development,"This article explores the integration of generative artificial intelligence (AI) into nuclear systems engineering to improve efficiency and compliance. The Generative Systems Engineering (GenSE) project is transforming traditional systems engineering processes by leveraging AI across the entire plant lifecycle. Key challenges addressed include the extraction and reformulation of requirements, their allocation within the Product Breakdown Structure (PBS), and integration with existing engineering tools. To meet these challenges, a specialized Large Language Model (LLM) tailored for Nuclear Engineering, named ""CurieLM"", has been developed through fine-tuning. A workflow has been developed, using CurieLM, to automate requirements extraction, ensure quality assurance according to INCOSE guidelines, and facilitate allocation while maintaining compliance with ISO 15288 and ISO 24641 and integrating with SysML tools. The case study on a MOX fuel fabrication plant shows significant time reductions: 88% in requirements extraction, 87% in reformulation, and 66% in allocation to PBS. These improvements are accompanied by a gain in quality, based on feedback from requirements engineers. However, human verification remains essential to interpret and validate the results. In conclusion, the article highlights the potential of AI to transform systems engineering, while highlighting the need for collaboration between humans and AI to guarantee the quality of decisions. ? 2025 by SCITEPRESS - Science and Technology Publications, Lda.",Engineering Automation; LLM; Requirements Allocation; Requirements Extraction; SysML; Systems-Engineering,"Assystem Energy and Operation Services (AEOS), Tour Eg¨¦e, Courbevoie, 92400, France",France,SciTePress,Conference paper,Scopus,LLM,Generative AI,Semantic reasoning and consistency analysis,Requirement analysis and management,Requirements Organization,Requirements prioritization,Industry
"Cannizzaro, Michael",Systems Engineering Automation Through Artificial Intelligence (AI) and Natural Language Processing (NLP)-Based Software,2025,INCOSE International Symposium,"In the field of both traditional and Agile systems engineering, engineers manually perform a variety of tasks to derive, decompose, trace, rewrite, and evolve large quantities of engineering artifacts ? work that is time-consuming and prone to human error. Such errors have compounding negative impacts on product efficacy and remediation costs grow exponentially as problems go unresolved. The adoption of modern technologies and methodologies can help remediate these problems by accelerating and ensuring the quality of systems engineering work. In 2012, Army Training and Doctrine Command (TRADOC) Combined Arms Center for Training (CACT) and the MITRE Corporation developed software to accelerate common and repeatable engineering tasks to improve the quality of capability development and acquisition working group efforts. Recent advances in artificial intelligence (AI) natural language processing (NLP) have modernized this software into a web application known as the Requirements Analysis using Artificial Intelligence for Mapping (RAAM), which provides capabilities for the automation of language-related tasks such as generating requirements, improving requirements quality, and performing traceability analysis. In the past two years, the tool has been used by various government organizations to accelerate initial requirements generation by 9,000%, reduce traceability analysis times by 84%, and to improve requirements quality based on International Counsel on Systems Engineering (INCOSE) and Institute of Electrical and Electronics Engineers (IEEE) writing standards. This paper will discuss several critical stages of the digital engineering workflow that involve tedious requirements engineering. It will propose how certain NLP technologies and techniques utilized by the RAAM can and have been used to accelerate those tasks and improve quality of the outcome through software automation. These capabilities will be illustrated with real-world case studies and their resulting metrics.",Systems Engineering; Requirements; Artificial Intelligence; Machine Learning; NLP; LLM; Agile,"US Army Futures Command STE CFTOrlando, Florida",United States,INCOSE-International Council on Systems Engineering,Conference paper,Wiley,LLM+NLP,Generative AI,Content generation,Requirement analysis and management,Requirements Representation,Requirements modeling,Defense
"Schleifer, Simon",Large Language Model-based Generation of Use Case Diagrams from Requirement Specifications,2025,INCOSE International Symposium,"Model-based formalization of natural language requirements is a promising approach to cope with the ever-increasing complexity of technical systems and the resulting increase in requirements. Use case diagrams typically are the first step towards model-based requirements in terms of Model-Based Systems Engineering. As manual modeling is perceived as time-consuming for large requirements specifications, there is a need for modeling assistance with artificial intelligence. To allow for an industrial application, certain demands must be met. This comprises working with multiple requirements per use case as well as dealing with inhomogeneous natural language requirements. Recent advances in the field of Large Language Models open new possibilities to support the manual modeling task. Therefore, this contribution proposes a comprehensive method based on two sequential prompting pipelines, namely intra-use case and inter-use case pipeline. Both utilize advanced prompting techniques like one-shot prompting to improve the quality of the results. Semi-structured expert interviews were conducted to assess the quality of the resulting use case diagrams. This revealed a general applicability and semantic integrity of the results especially with consideration of the industrial application scenario. Thus, the method can effectively support the creation of use case diagrams and contributes to a clear model basis for subsequent behavior modeling.",Use Case Diagrams; LLM; Prompt Engineering; MBSE; Requirements Engineering,"Friedrich-Alexander-Universit?t Erlangen-N¨¹rnberg (FAU)Martensstrasse 9, 91058 Erlangen, Germany",Germany,INCOSE-International Council on Systems Engineering,Conference paper,Wiley,LLM,Generative AI,Model synthesis and refinement,Requirement analysis and management,Requirements Representation,Requirements modeling,Vehicle
